"STATE","COUNTY","STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","H_MALE","H_FEMALE","white_alone_perc","black_alone_perc","american_indian_alone_perc","asian_alone_perc","hispanic_perc"
35,25,"New Mexico","Lea County",71070,36550,34520,33173,31721,1703,1352,797,656,228,243,22230,20475,0.913099760799212,0.0429857886590685,0.0204446320529056,0.00662726888982693,0.600886449978894
35,27,"New Mexico","Lincoln County",19572,9536,10036,8768,9219,112,99,404,455,61,64,3327,3400,0.919016963008379,0.0107807071326385,0.0438892295115471,0.00638667484161046,0.343705293276109
35,28,"New Mexico","Los Alamos County",19369,9901,9468,8696,8330,157,111,131,144,655,624,1762,1812,0.879033507150601,0.0138365429294233,0.0141979451701172,0.0660333522639269,0.184521658319996
35,29,"New Mexico","Luna County",23709,11966,11743,11097,10857,221,229,302,281,117,141,8107,7989,0.925977476907503,0.0189801341262812,0.0245898182124931,0.0108819435657345,0.678898308659159
35,31,"New Mexico","McKinley County",71367,34392,36975,5792,5811,254,211,27145,29670,337,444,5215,4933,0.162582145809688,0.00651561646138972,0.796096234954531,0.0109434332394524,0.142194571720823
35,33,"New Mexico","Mora County",4521,2316,2205,2156,2058,28,23,76,68,13,13,1896,1776,0.932094669320947,0.0112806901128069,0.0318513603185136,0.0057509400575094,0.812209688122097
35,35,"New Mexico","Otero County",67490,34971,32519,28960,26843,1637,1172,2726,2850,433,624,13191,12843,0.826833604978515,0.0416209808860572,0.0826196473551637,0.0156615794932583,0.385746036449844
35,37,"New Mexico","Quay County",8253,4017,4236,3641,3863,99,87,118,110,49,49,1859,1938,0.909245122985581,0.0225372591784806,0.0276263177026536,0.0118744698897371,0.460075124197262
35,39,"New Mexico","Rio Arriba County",38921,19049,19872,14601,15224,174,166,3721,3849,140,187,13621,14047,0.766295830014645,0.00873564399681406,0.194496544282007,0.00840163407928882,0.710875876776033
35,41,"New Mexico","Roosevelt County",18500,9201,9299,8285,8504,324,206,209,211,131,149,3982,4018,0.907513513513514,0.0286486486486486,0.0227027027027027,0.0151351351351351,0.432432432432432
35,43,"New Mexico","Sandoval County",146748,72041,74707,56486,58311,2153,1856,10003,10630,983,1465,28940,29673,0.782273012238668,0.027318941314362,0.140601575489956,0.0166816583530951,0.399412598468122
35,45,"New Mexico","San Juan County",123958,61301,62657,33128,33901,564,411,25396,26193,331,395,12904,12630,0.540739605350199,0.00786556736959293,0.416181287210184,0.00585682247212766,0.205989125348909
35,47,"New Mexico","San Miguel County",27277,13519,13758,12280,12522,303,267,444,444,190,215,10549,10613,0.909264215272941,0.0208967261795652,0.0325548997323753,0.0148476738644279,0.7758184551087
35,49,"New Mexico","Santa Fe County",150358,72731,77627,65820,70448,1019,781,3177,3279,985,1347,37748,38781,0.906290320435228,0.0119714281913832,0.0429375224464279,0.0155096503012809,0.508978571143537
35,51,"New Mexico","Sierra County",10791,5416,5375,4980,4924,54,34,174,157,38,70,1677,1665,0.917801871930312,0.00815494393476045,0.0306737095727921,0.0100083402835696,0.309702529886016
35,53,"New Mexico","Socorro County",16637,8310,8327,6649,6455,142,95,1163,1277,128,258,4148,4135,0.787642002764922,0.0142453567349883,0.146661056680892,0.0232012983109936,0.497866201839274
35,55,"New Mexico","Taos County",32723,15996,16727,14073,14676,153,130,1210,1239,129,202,9297,9204,0.878556367081258,0.00864835131253247,0.0748403263759435,0.0101152094856829,0.565382147113651
35,57,"New Mexico","Torrance County",15461,8132,7329,7249,6641,237,110,368,282,35,51,3653,3117,0.898389496151607,0.0224435676864368,0.0420412651186857,0.00556238276954919,0.437875945928465
35,59,"New Mexico","Union County",4059,2280,1779,2040,1652,84,8,83,59,19,11,1058,690,0.909583641290958,0.0226656812022666,0.0349839862034984,0.0073909830007391,0.430647942843065
